LOSS,TRAINING SET ACCURACY,VALIDATION SET LOSS,VALIDATION SET ACCURACY
0.21421960680211177,0.7100409865379333,0.1747757000325871,0.8316008448600769
0.15356843393357072,0.8483606576919556,0.13821961019738052,0.8461538553237915
0.1209485861854475,0.8719262480735779,0.11454923242996612,0.8690228462219238
0.09962905149479381,0.8954917788505554,0.10242871428198973,0.8711018562316895
0.08491363254238347,0.9180327653884888,0.08978717341213613,0.8960499167442322
0.07343874981657403,0.9293032884597778,0.08131626176622671,0.9085239171981812
0.06365208425482766,0.9467213153839111,0.07705777220567397,0.9064449071884155
0.055946985473398304,0.9549180269241333,0.06877583672685583,0.927234947681427
0.0493482159236904,0.9631147384643555,0.06339872293387251,0.9417879581451416
0.04407922435002249,0.9672130942344666,0.05936644029447309,0.9459459185600281
0.03924794150058363,0.9723360538482666,0.05621162326444955,0.9438669681549072
0.03515728630247663,0.9743852615356445,0.05515367387486099,0.939708948135376
0.03240716213085612,0.9784836173057556,0.04985584837351606,0.9542619585990906
0.029171801706562278,0.9825819730758667,0.047829106244841386,0.952182948589325
0.026487260568337362,0.9856557250022888,0.04484255431295448,0.9646569490432739
0.024241585253936347,0.9856557250022888,0.04260392837928755,0.9667359590530396
0.02183817430078739,0.9887295365333557,0.04296430016155287,0.9542619585990906
0.020382015202499805,0.9897540807723999,0.03920845006517059,0.9708939790725708
0.018319513175453318,0.9928278923034668,0.03776420608720512,0.9688149690628052
0.017061978944989502,0.993852436542511,0.037660393575419386,0.9563409686088562
0.015680792619336824,0.993852436542511,0.03598766874622654,0.9563409686088562
0.014747773663553058,0.993852436542511,0.03440803784505307,0.9708939790725708
0.013448416316484819,0.9948770403862,0.03364038679036244,0.9688149690628052
0.012532242115770207,0.9959016442298889,0.03216789591197784,0.9771309494972229
0.011637075911047028,0.9959016442298889,0.031559695239932024,0.9729729890823364
0.010773159845991701,0.9959016442298889,0.031104340601107155,0.9729729890823364
0.010002731483002177,0.9959016442298889,0.030417706391087002,0.9729729890823364
0.00946750613234815,0.9959016442298889,0.029686296756114044,0.975051999092102
0.008665568359409933,0.9959016442298889,0.029174636965210932,0.975051999092102
0.008255317830098946,0.9959016442298889,0.028745517803449,0.975051999092102
0.007731273251234508,0.9959016442298889,0.02764371703543435,0.975051999092102
0.0072349467845328275,0.9979507923126221,0.02818461812707342,0.9729729890823364
0.006731186939983583,0.998975396156311,0.028107146575675188,0.9688149690628052
0.006433612178461474,0.998975396156311,0.026710327889909676,0.9771309494972229
0.006038067847123889,0.998975396156311,0.026279735915254405,0.9771309494972229
0.005667877017108143,0.998975396156311,0.025725562698565997,0.975051999092102
0.005366550224115614,0.998975396156311,0.02562844446592087,0.9771309494972229
0.005034501156693355,0.998975396156311,0.025485787601907218,0.9771309494972229
0.0047982579639150955,1.0,0.02439029135660759,0.9792099595069885
0.004552607726091977,1.0,0.024833331331843025,0.9771309494972229
0.004328067620574939,1.0,0.024307009802740105,0.9792099595069885
0.004093015440510678,1.0,0.024819034134730477,0.9771309494972229
0.003915805064263891,1.0,0.023613898716046498,0.9812889695167542
0.003714291195644707,1.0,0.02434999213939757,0.9771309494972229
0.003585275151904245,1.0,0.022885134966420532,0.9792099595069885
0.003376420159808925,1.0,0.02394999850775152,0.9771309494972229
0.0032553476334900642,1.0,0.023432307007283035,0.9792099595069885
0.0031128199694708722,1.0,0.022831373902689037,0.9812889695167542
0.0029613834836321774,1.0,0.022361249970794965,0.9812889695167542
0.002865820325391947,1.0,0.022333656291994353,0.9812889695167542
0.0027517375620234696,1.0,0.022120517675896522,0.9812889695167542
0.002643650870953427,1.0,0.022399205042111247,0.9812889695167542
0.002557296773464587,1.0,0.022626068950713014,0.9812889695167542
0.0024846995871544617,1.0,0.022167782892445573,0.9812889695167542
0.0023574956662220058,1.0,0.022225180836511208,0.9812889695167542
0.0022768050329149015,1.0,0.021812652351950408,0.9812889695167542
0.0021987199529501624,1.0,0.0219028305548888,0.9812889695167542
0.0021293710604248966,1.0,0.02168983702011515,0.9812889695167542
0.0020507890082223984,1.0,0.021143118855727377,0.9812889695167542
0.0019714784003091886,1.0,0.021908292163496455,0.9812889695167542
0.0019189939895247828,1.0,0.0213947517142908,0.9812889695167542
0.0018679720376328123,1.0,0.020899537737769792,0.9812889695167542
0.0018084922816879192,1.0,0.02078774040779089,0.9812889695167542
0.0017543353090734512,1.0,0.02085002738580189,0.9812889695167542
0.001707862743909364,1.0,0.02045338277137701,0.9833679795265198
0.0016488587353989238,1.0,0.020790298554134844,0.9812889695167542
0.0016051981766082224,1.0,0.02055443880170574,0.9812889695167542
0.001563492933379822,1.0,0.02064920903015371,0.9812889695167542
0.0015227454437752117,1.0,0.020470549774865898,0.9812889695167542
0.0014824824957329718,1.0,0.020172094692974412,0.9833679795265198
0.0014427443126552417,1.0,0.02046702998514111,0.9812889695167542
0.001405338161304349,1.0,0.020160273731087884,0.9812889695167542
0.0013691775746964162,1.0,0.020156851073188743,0.9812889695167542
0.0013293413250691822,1.0,0.02057147807370065,0.9812889695167542
0.0013084656269801017,1.0,0.020200238561433735,0.9812889695167542
0.0012783886097585324,1.0,0.02008431666780139,0.9812889695167542
0.0012456419654419554,1.0,0.020077773151055692,0.9812889695167542
0.0012153343041809122,1.0,0.01982062067565452,0.9812889695167542
0.0011856390838892977,1.0,0.019889840410863537,0.9812889695167542
0.001154865042810313,1.0,0.019632176654858672,0.9833679795265198
0.0011341119228984366,1.0,0.019351361017251142,0.9812889695167542
0.0011059766078031943,1.0,0.020100766485185446,0.9812889695167542
0.0010906178637819944,1.0,0.019515814589630396,0.9833679795265198
0.0010639402479101277,1.0,0.019618481041364016,0.9812889695167542
0.0010374048152236176,1.0,0.019331249404097656,0.9833679795265198
0.0010180370080605393,1.0,0.019818492535682755,0.9812889695167542
0.0010006021723517628,1.0,0.019231585230973715,0.9833679795265198
0.0009800374181559463,1.0,0.01923488822606878,0.9833679795265198
0.0009604232179642212,1.0,0.01908163370762578,0.9833679795265198
0.000941298854323562,1.0,0.019173101016674618,0.9833679795265198
0.0009240824166212048,1.0,0.01916531177737175,0.9833679795265198
0.0009043210254768368,1.0,0.019209734948348108,0.9812889695167542
0.0008848976452651694,1.0,0.019291928148985886,0.9812889695167542
0.0008704533121075298,1.0,0.01926601777763712,0.9812889695167542
0.0008563767950676503,1.0,0.018940898607737733,0.9833679795265198
0.0008405250779612632,1.0,0.019014416653624196,0.9833679795265198
0.0008231550097259403,1.0,0.019223290238552408,0.9812889695167542
0.0008103891984811511,1.0,0.018842690218658247,0.9833679795265198
0.0007977796705119067,1.0,0.018956916372173928,0.9833679795265198
0.0007826413751243934,1.0,0.018743441012260074,0.9833679795265198
